contest,candidate,reporting_unit,votes,county,ctv,municipality
SENATOR,HOVDE,TOWN OF MANITOWOC WARDS 1-2,437,MANITOWOC,T,MANITOWOC
SENATOR,HOVDE,TOWN OF MANITOWOC RAPIDS WARDS 1-4,1037,MANITOWOC,T,MANITOWOC RAPIDS
SENATOR,HOVDE,TOWN OF MAPLE GROVE WARD 1,385,MANITOWOC,T,MAPLE GROVE
SENATOR,HOVDE,TOWN OF MEEME WARDS 1-2,666,MANITOWOC,T,MEEME
SENATOR,HOVDE,TOWN OF MISHICOT WARDS 1-2,552,MANITOWOC,T,MISHICOT
SENATOR,HOVDE,TOWN OF NEWTON WARDS 1-3,1011,MANITOWOC,T,NEWTON
SENATOR,HOVDE,TOWN OF ROCKLAND WARDS 1-2,461,MANITOWOC,T,ROCKLAND
SENATOR,HOVDE,TOWN OF SCHLESWIG WARDS 1-2,890,MANITOWOC,T,SCHLESWIG
SENATOR,HOVDE,TOWN OF TWO CREEKS WARD 1,172,MANITOWOC,T,TWO CREEKS
SENATOR,HOVDE,TOWN OF TWO RIVERS WARDS 1-3,723,MANITOWOC,T,TWO RIVERS
SENATOR,HOVDE,VILLAGE OF CLEVELAND WARDS 1-2,528,MANITOWOC,V,CLEVELAND
SENATOR,HOVDE,VILLAGE OF FRANCIS CREEK WARD 1,254,MANITOWOC,V,FRANCIS CREEK
SENATOR,HOVDE,VILLAGE OF KELLNERSVILLE WARD 1,101,MANITOWOC,V,KELLNERSVILLE
SENATOR,HOVDE,VILLAGE OF MARIBEL WARD 1,124,MANITOWOC,V,MARIBEL
SENATOR,HOVDE,VILLAGE OF MISHICOT WARDS 1-4,530,MANITOWOC,V,MISHICOT
SENATOR,HOVDE,VILLAGE OF REEDSVILLE WARDS 1-2,403,MANITOWOC,V,REEDSVILLE
SENATOR,HOVDE,VILLAGE OF ST NAZIANZ WARD 1,280,MANITOWOC,V,ST NAZIANZ
SENATOR,HOVDE,VILLAGE OF VALDERS WARD 1,382,MANITOWOC,V,VALDERS
SENATOR,HOVDE,VILLAGE OF WHITELAW WARD 1,309,MANITOWOC,V,WHITELAW
SENATOR,HOVDE,"CITY OF KIEL WARDS 1-6,8",1341,MANITOWOC,C,KIEL
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 1-2,758,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 3-4,984,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 5-6,686,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 7-8,567,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 9-10,909,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 11-12,982,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,"CITY OF MANITOWOC WARDS 13-14,23",722,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 15-16,1032,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,"CITY OF MANITOWOC WARDS 17-18,21-22",857,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF MANITOWOC WARDS 19-20,1315,MANITOWOC,C,MANITOWOC
SENATOR,HOVDE,CITY OF TWO RIVERS WARDS 1-5,2143,MANITOWOC,C,TWO RIVERS
SENATOR,HOVDE,CITY OF TWO RIVERS WARDS 6-8,1091,MANITOWOC,C,TWO RIVERS
SENATOR,ANDERSON,TOWN OF CATO WARDS 1-3,8,MANITOWOC,T,CATO
SENATOR,ANDERSON,TOWN OF CENTERVILLE WARD 1,3,MANITOWOC,T,CENTERVILLE
SENATOR,ANDERSON,TOWN OF COOPERSTOWN WARDS 1-2,6,MANITOWOC,T,COOPERSTOWN
SENATOR,ANDERSON,TOWN OF EATON WARD 1,6,MANITOWOC,T,EATON
SENATOR,ANDERSON,TOWN OF FRANKLIN WARDS 1-3,11,MANITOWOC,T,FRANKLIN
SENATOR,ANDERSON,TOWN OF GIBSON WARDS 1-2,10,MANITOWOC,T,GIBSON
SENATOR,ANDERSON,TOWN OF KOSSUTH WARDS 1-3,19,MANITOWOC,T,KOSSUTH
SENATOR,ANDERSON,TOWN OF LIBERTY WARDS 1-2,6,MANITOWOC,T,LIBERTY
SENATOR,ANDERSON,TOWN OF MANITOWOC WARDS 1-2,5,MANITOWOC,T,MANITOWOC
SENATOR,ANDERSON,TOWN OF MANITOWOC RAPIDS WARDS 1-4,21,MANITOWOC,T,MANITOWOC RAPIDS
SENATOR,ANDERSON,TOWN OF MAPLE GROVE WARD 1,10,MANITOWOC,T,MAPLE GROVE
SENATOR,ANDERSON,TOWN OF MEEME WARDS 1-2,9,MANITOWOC,T,MEEME
SENATOR,ANDERSON,TOWN OF MISHICOT WARDS 1-2,12,MANITOWOC,T,MISHICOT
SENATOR,ANDERSON,TOWN OF NEWTON WARDS 1-3,13,MANITOWOC,T,NEWTON
SENATOR,ANDERSON,TOWN OF ROCKLAND WARDS 1-2,9,MANITOWOC,T,ROCKLAND
SENATOR,ANDERSON,TOWN OF SCHLESWIG WARDS 1-2,22,MANITOWOC,T,SCHLESWIG
SENATOR,ANDERSON,TOWN OF TWO CREEKS WARD 1,8,MANITOWOC,T,TWO CREEKS
SENATOR,ANDERSON,TOWN OF TWO RIVERS WARDS 1-3,19,MANITOWOC,T,TWO RIVERS
SENATOR,ANDERSON,VILLAGE OF CLEVELAND WARDS 1-2,12,MANITOWOC,V,CLEVELAND
SENATOR,ANDERSON,VILLAGE OF FRANCIS CREEK WARD 1,6,MANITOWOC,V,FRANCIS CREEK
SENATOR,ANDERSON,VILLAGE OF KELLNERSVILLE WARD 1,3,MANITOWOC,V,KELLNERSVILLE
SENATOR,ANDERSON,VILLAGE OF MARIBEL WARD 1,4,MANITOWOC,V,MARIBEL
SENATOR,ANDERSON,VILLAGE OF MISHICOT WARDS 1-4,14,MANITOWOC,V,MISHICOT
SENATOR,ANDERSON,VILLAGE OF REEDSVILLE WARDS 1-2,8,MANITOWOC,V,REEDSVILLE
SENATOR,ANDERSON,VILLAGE OF ST NAZIANZ WARD 1,6,MANITOWOC,V,ST NAZIANZ
SENATOR,ANDERSON,VILLAGE OF VALDERS WARD 1,10,MANITOWOC,V,VALDERS
SENATOR,ANDERSON,VILLAGE OF WHITELAW WARD 1,15,MANITOWOC,V,WHITELAW
SENATOR,ANDERSON,"CITY OF KIEL WARDS 1-6,8",36,MANITOWOC,C,KIEL
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 1-2,30,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 3-4,24,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 5-6,22,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 7-8,18,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 9-10,23,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 11-12,33,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,"CITY OF MANITOWOC WARDS 13-14,23",16,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 15-16,30,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,"CITY OF MANITOWOC WARDS 17-18,21-22",24,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF MANITOWOC WARDS 19-20,19,MANITOWOC,C,MANITOWOC
SENATOR,ANDERSON,CITY OF TWO RIVERS WARDS 1-5,66,MANITOWOC,C,TWO RIVERS
SENATOR,ANDERSON,CITY OF TWO RIVERS WARDS 6-8,52,MANITOWOC,C,TWO RIVERS
SENATOR,LEAGER,TOWN OF CATO WARDS 1-3,3,MANITOWOC,T,CATO
