municipality,reporting_unit,contest,candidate,votes,county,ctv
PRINCETON,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,T
PRINCETON,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
PRINCETON,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,SCATTERING,2,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,64,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,190,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,4,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",1,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
ST. MARIE,WARDS 1,PRESIDENT/VICE PRESIDENT,SCATTERING,0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,62,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,169,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,2,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,1,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",1,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
SENECA,WARD 1,PRESIDENT/VICE PRESIDENT,SCATTERING,0,GREEN LAKE,T
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,55,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,146,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,1,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",1,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,V
